,Response_ID,Respondent_ID,Consume_frequency,Consume_time,Consume_reason,Heard_before,Brand_perception,General_perception,Tried_before,Taste_experience,Reasons_preventing_trying,Current_brands,Reasons_for_choosing_brands,Improvements_desired,Ingredients_expected,Health_concerns,Interest_in_natural_or_organic,Marketing_channels,Packaging_preference,Limited_edition_packaging,Price_range,Purchase_location,Typical_consumption_situations
4877,107878,124908,2-3 times a month,To stay awake during work/study,To boost performance,Yes,Negative,Not sure,Yes,4,Not available locally,CodeX,Brand reputation,Reduced sugar content,Caffeine,No,Yes,Outdoor billboards,Innovative bottle design,No,50-99,Other,Driving/commuting
4878,107879,124909,2-3 times a month,Before exercise,To combat fatigue,Yes,Neutral,Healthy,Yes,1,Unfamiliar with the brand,Blue Bull,Effectiveness,Wider range of flavors,Vitamins,Yes,Yes,Online ads,Innovative bottle design,Yes,100-150,Online retailers,Other
4879,107880,124910,2-3 times a month,To stay awake during work/study,To combat fatigue,Yes,Neutral,Effective,Yes,5,Not available locally,Gangster,Brand reputation,Reduced sugar content,Vitamins,No,Not Sure,Online ads,Eco-friendly design,No,50-99,Supermarkets,Studying/working late
4880,107881,124911,2-3 times a week,For mental alertness,Other,Yes,Neutral,Healthy,Yes,4,Unfamiliar with the brand,Bepsi,Effectiveness,More natural ingredients,Caffeine,Yes,Not Sure,Outdoor billboards,Innovative bottle design,Yes,50-99,Supermarkets,Sports/exercise
4881,107882,124912,2-3 times a week,To stay awake during work/study,To enhance sports performance,Yes,Neutral,Healthy,No,3,Unfamiliar with the brand,Cola-Coka,Brand reputation,Wider range of flavors,Sugar,No,Yes,Outdoor billboards,Other,Not Sure,50-99,Supermarkets,Sports/exercise
4882,107883,124913,2-3 times a week,Before exercise,Increased energy and focus,No,Positive,Not sure,Yes,5,Not available locally,Gangster,Other,Reduced sugar content,Sugar,Yes,Yes,Outdoor billboards,Innovative bottle design,Yes,100-150,Online retailers,Social outings/parties
4883,107884,124914,2-3 times a month,To stay awake during work/study,Increased energy and focus,Yes,Neutral,Dangerous,Yes,1,Health concerns,Blue Bull,Taste/flavor preference,More natural ingredients,Caffeine,Yes,Yes,Print media,Compact and portable cans,Yes,100-150,Online retailers,Sports/exercise
4884,107885,124915,Rarely,Throughout the day,To combat fatigue,No,Neutral,Effective,No,5,Not available locally,Bepsi,Brand reputation,Reduced sugar content,Caffeine,No,Not Sure,TV commercials,Compact and portable cans,Yes,Below 50,Supermarkets,Studying/working late
4885,107886,124916,Daily,For mental alertness,To enhance sports performance,No,Neutral,Not sure,Yes,5,Not available locally,CodeX,Availability,More natural ingredients,Vitamins,Yes,Yes,Outdoor billboards,Compact and portable cans,No,Above 150,Gyms and fitness centers,Studying/working late
4886,107887,124917,Once a week,For mental alertness,To boost performance,Yes,Negative,Not sure,No,4,Health concerns,Blue Bull,Other,Reduced sugar content,Caffeine,No,No,Other,Innovative bottle design,Yes,Above 150,Supermarkets,Sports/exercise
4887,107888,124918,Once a week,For mental alertness,To combat fatigue,No,Neutral,Not sure,Yes,1,Not available locally,Gangster,Taste/flavor preference,Reduced sugar content,Vitamins,No,No,Other,Compact and portable cans,No,100-150,Supermarkets,Sports/exercise
4888,107889,124919,Daily,For mental alertness,Increased energy and focus,Yes,Positive,Dangerous,Yes,1,Health concerns,CodeX,Availability,Reduced sugar content,Caffeine,Yes,Yes,Other,Collectible packaging,No,100-150,Supermarkets,Studying/working late
4889,107890,124920,Daily,To stay awake during work/study,Other,Yes,Neutral,Not sure,No,3,Not interested in energy drinks,Sky 9,Taste/flavor preference,Reduced sugar content,Sugar,Yes,Yes,Print media,Innovative bottle design,Yes,100-150,Online retailers,Sports/exercise
4890,107891,124921,2-3 times a month,Throughout the day,To enhance sports performance,No,Neutral,Effective,Yes,4,Unfamiliar with the brand,Gangster,Brand reputation,More natural ingredients,Guarana,Yes,No,Online ads,Collectible packaging,Yes,Above 150,Supermarkets,Sports/exercise
4891,107892,124922,Daily,For mental alertness,To combat fatigue,Yes,Positive,Effective,Yes,2,Health concerns,Cola-Coka,Other,More natural ingredients,Caffeine,No,No,Outdoor billboards,Innovative bottle design,Yes,Above 150,Local stores,Other
4892,107893,124923,Once a week,To stay awake during work/study,To combat fatigue,Yes,Neutral,Healthy,No,4,Other,Blue Bull,Brand reputation,Reduced sugar content,Caffeine,No,Not Sure,TV commercials,Innovative bottle design,Yes,100-150,Other,Sports/exercise
4893,107894,124924,2-3 times a month,For mental alertness,Increased energy and focus,Yes,Negative,Healthy,No,3,Not interested in energy drinks,Cola-Coka,Effectiveness,More natural ingredients,Caffeine,No,Yes,Outdoor billboards,Eco-friendly design,Not Sure,Above 150,Supermarkets,Sports/exercise
4894,107895,124925,2-3 times a week,To stay awake during work/study,To boost performance,No,Neutral,Dangerous,Yes,3,Other,Gangster,Availability,More natural ingredients,Sugar,Yes,Not Sure,Outdoor billboards,Compact and portable cans,Yes,100-150,Supermarkets,Studying/working late
4895,107896,124926,Rarely,For mental alertness,Increased energy and focus,No,Neutral,Healthy,Yes,1,Health concerns,Cola-Coka,Other,Healthier alternatives,Sugar,Yes,Yes,Outdoor billboards,Compact and portable cans,Yes,100-150,Other,Sports/exercise
4896,107897,124927,2-3 times a week,For mental alertness,To combat fatigue,Yes,Positive,Not sure,No,1,Health concerns,Bepsi,Taste/flavor preference,Wider range of flavors,Guarana,Yes,Not Sure,TV commercials,Compact and portable cans,No,50-99,Gyms and fitness centers,Studying/working late
4897,107898,124928,2-3 times a week,To stay awake during work/study,To boost performance,Yes,Negative,Healthy,Yes,3,Health concerns,Bepsi,Brand reputation,Wider range of flavors,Sugar,Yes,No,Online ads,Innovative bottle design,Yes,50-99,Online retailers,Studying/working late
4898,107899,124929,Rarely,For mental alertness,Other,No,Neutral,Healthy,No,3,Not interested in energy drinks,Others,Effectiveness,Reduced sugar content,Sugar,Yes,Not Sure,Online ads,Compact and portable cans,Yes,100-150,Supermarkets,Sports/exercise
4899,107900,124930,2-3 times a week,To stay awake during work/study,To combat fatigue,Yes,Neutral,Effective,No,5,Other,Blue Bull,Taste/flavor preference,Reduced sugar content,Guarana,Yes,Yes,TV commercials,Innovative bottle design,Yes,100-150,Gyms and fitness centers,Social outings/parties
4900,107901,124931,Daily,To stay awake during work/study,To boost performance,No,Negative,Dangerous,No,2,Unfamiliar with the brand,Gangster,Effectiveness,Other,Caffeine,No,Yes,TV commercials,Compact and portable cans,Yes,100-150,Supermarkets,Studying/working late
4901,107902,124932,2-3 times a week,To stay awake during work/study,Other,No,Neutral,Effective,Yes,5,Health concerns,Bepsi,Effectiveness,More natural ingredients,Guarana,No,Yes,Other,Collectible packaging,Yes,100-150,Supermarkets,Sports/exercise
4902,107903,124933,2-3 times a month,For mental alertness,To boost performance,No,Negative,Not sure,No,3,Unfamiliar with the brand,CodeX,Brand reputation,More natural ingredients,Vitamins,Yes,Yes,Online ads,Eco-friendly design,Not Sure,Above 150,Online retailers,Sports/exercise
4903,107904,124934,2-3 times a week,Before exercise,Increased energy and focus,Yes,Neutral,Healthy,No,1,Unfamiliar with the brand,Cola-Coka,Brand reputation,Reduced sugar content,Sugar,No,Yes,Online ads,Innovative bottle design,Yes,100-150,Supermarkets,Sports/exercise
4904,107905,124935,Rarely,For mental alertness,Increased energy and focus,No,Neutral,Healthy,Yes,2,Not interested in energy drinks,Cola-Coka,Brand reputation,More natural ingredients,Sugar,Yes,Yes,Online ads,Compact and portable cans,Yes,50-99,Gyms and fitness centers,Social outings/parties
4905,107906,124936,2-3 times a week,To stay awake during work/study,To enhance sports performance,No,Neutral,Healthy,Yes,5,Health concerns,Sky 9,Brand reputation,Reduced sugar content,Sugar,Yes,Yes,Online ads,Innovative bottle design,No,50-99,Supermarkets,Sports/exercise
4906,107907,124937,2-3 times a month,To stay awake during work/study,To combat fatigue,Yes,Neutral,Healthy,No,3,Health concerns,Blue Bull,Brand reputation,More natural ingredients,Vitamins,Yes,Yes,Print media,Compact and portable cans,No,Below 50,Local stores,Social outings/parties
4907,107908,124938,2-3 times a month,Throughout the day,Other,No,Neutral,Healthy,Yes,3,Not interested in energy drinks,Cola-Coka,Other,Reduced sugar content,Vitamins,Yes,No,Online ads,Innovative bottle design,Not Sure,50-99,Local stores,Studying/working late
4908,107909,124939,2-3 times a week,For mental alertness,Other,Yes,Neutral,Effective,No,3,Health concerns,Cola-Coka,Taste/flavor preference,Healthier alternatives,Sugar,No,Yes,Online ads,Compact and portable cans,No,Above 150,Supermarkets,Studying/working late
4909,107910,124940,Daily,For mental alertness,To enhance sports performance,No,Neutral,Healthy,Yes,3,Not interested in energy drinks,Gangster,Brand reputation,More natural ingredients,Guarana,Yes,Not Sure,Online ads,Compact and portable cans,Yes,50-99,Supermarkets,Sports/exercise
4910,107911,124941,2-3 times a week,To stay awake during work/study,To boost performance,No,Neutral,Healthy,Yes,4,Not available locally,Blue Bull,Effectiveness,Wider range of flavors,Guarana,Yes,Yes,Online ads,Collectible packaging,Yes,50-99,Gyms and fitness centers,Social outings/parties
4911,107912,124942,2-3 times a month,To stay awake during work/study,Increased energy and focus,No,Neutral,Dangerous,Yes,4,Not available locally,Bepsi,Taste/flavor preference,Reduced sugar content,Vitamins,No,Yes,TV commercials,Compact and portable cans,No,100-150,Gyms and fitness centers,Sports/exercise
4912,107913,124943,2-3 times a month,To stay awake during work/study,Increased energy and focus,No,Positive,Dangerous,No,5,Not interested in energy drinks,Sky 9,Brand reputation,More natural ingredients,Sugar,Yes,Yes,TV commercials,Compact and portable cans,Yes,100-150,Gyms and fitness centers,Studying/working late
4913,107914,124944,Daily,Throughout the day,To enhance sports performance,No,Neutral,Effective,Yes,5,Unfamiliar with the brand,Gangster,Availability,Healthier alternatives,Caffeine,Yes,Yes,TV commercials,Compact and portable cans,Not Sure,50-99,Online retailers,Social outings/parties
4914,107915,124945,Daily,Before exercise,Other,Yes,Negative,Dangerous,No,3,Health concerns,Cola-Coka,Brand reputation,Reduced sugar content,Caffeine,No,Yes,TV commercials,Innovative bottle design,Yes,100-150,Supermarkets,Studying/working late
4915,107916,124946,Once a week,Throughout the day,Increased energy and focus,Yes,Neutral,Effective,No,3,Health concerns,Cola-Coka,Other,Reduced sugar content,Guarana,No,Not Sure,Print media,Other,Yes,100-150,Other,Sports/exercise
4916,107917,124947,2-3 times a month,Before exercise,To enhance sports performance,No,Positive,Healthy,Yes,5,Health concerns,Cola-Coka,Brand reputation,Wider range of flavors,Vitamins,Yes,No,Other,Eco-friendly design,No,100-150,Other,Social outings/parties
4917,107918,124948,2-3 times a week,To stay awake during work/study,To enhance sports performance,Yes,Positive,Not sure,Yes,4,Health concerns,CodeX,Effectiveness,Reduced sugar content,Guarana,Yes,Yes,Online ads,Compact and portable cans,Yes,100-150,Supermarkets,Studying/working late
4918,107919,124949,2-3 times a week,Before exercise,To enhance sports performance,Yes,Positive,Effective,Yes,5,Not available locally,Cola-Coka,Taste/flavor preference,Healthier alternatives,Guarana,No,No,Online ads,Innovative bottle design,Yes,50-99,Supermarkets,Driving/commuting
4919,107920,124950,2-3 times a month,For mental alertness,Other,Yes,Positive,Effective,No,5,Not interested in energy drinks,Blue Bull,Brand reputation,Healthier alternatives,Guarana,No,Yes,Outdoor billboards,Compact and portable cans,No,Above 150,Other,Social outings/parties
4920,107921,124951,2-3 times a week,Before exercise,To combat fatigue,Yes,Positive,Not sure,No,1,Unfamiliar with the brand,Others,Effectiveness,Wider range of flavors,Caffeine,Yes,Not Sure,Online ads,Innovative bottle design,No,50-99,Supermarkets,Other
4921,107922,124952,2-3 times a month,For mental alertness,To combat fatigue,No,Neutral,Effective,No,3,Health concerns,Gangster,Effectiveness,More natural ingredients,Caffeine,Yes,Yes,TV commercials,Innovative bottle design,Not Sure,50-99,Supermarkets,Sports/exercise
4922,107923,124953,2-3 times a week,To stay awake during work/study,Increased energy and focus,Yes,Positive,Dangerous,No,1,Unfamiliar with the brand,CodeX,Taste/flavor preference,More natural ingredients,Guarana,No,No,Online ads,Eco-friendly design,No,100-150,Gyms and fitness centers,Studying/working late
4923,107924,124954,2-3 times a week,For mental alertness,To enhance sports performance,No,Neutral,Healthy,No,2,Health concerns,Cola-Coka,Other,Wider range of flavors,Caffeine,Yes,Yes,Online ads,Compact and portable cans,Yes,50-99,Online retailers,Social outings/parties
4924,107925,124955,2-3 times a month,To stay awake during work/study,To combat fatigue,Yes,Negative,Healthy,No,3,Not available locally,Gangster,Availability,Healthier alternatives,Sugar,No,Not Sure,Other,Innovative bottle design,No,50-99,Gyms and fitness centers,Studying/working late
4925,107926,124956,2-3 times a week,Before exercise,To boost performance,No,Neutral,Effective,No,2,Unfamiliar with the brand,CodeX,Availability,More natural ingredients,Caffeine,Yes,Yes,Online ads,Compact and portable cans,Yes,50-99,Supermarkets,Social outings/parties
4926,107927,124957,2-3 times a week,To stay awake during work/study,To combat fatigue,No,Neutral,Healthy,No,4,Not interested in energy drinks,Others,Availability,Wider range of flavors,Vitamins,Yes,Not Sure,TV commercials,Compact and portable cans,No,50-99,Local stores,Sports/exercise
4927,107928,124958,2-3 times a week,For mental alertness,To combat fatigue,Yes,Neutral,Dangerous,No,3,Unfamiliar with the brand,Bepsi,Brand reputation,Wider range of flavors,Guarana,No,Yes,TV commercials,Innovative bottle design,No,100-150,Supermarkets,Studying/working late
4928,107929,124959,Daily,Before exercise,Increased energy and focus,Yes,Neutral,Healthy,No,2,Not interested in energy drinks,Sky 9,Brand reputation,Wider range of flavors,Vitamins,Yes,Yes,Other,Innovative bottle design,No,100-150,Supermarkets,Studying/working late
4929,107930,124960,2-3 times a week,Before exercise,Increased energy and focus,No,Neutral,Effective,No,5,Health concerns,Cola-Coka,Effectiveness,Healthier alternatives,Caffeine,Yes,Yes,Outdoor billboards,Innovative bottle design,Yes,50-99,Online retailers,Sports/exercise
4930,107931,124961,Daily,To stay awake during work/study,Increased energy and focus,No,Neutral,Healthy,Yes,1,Other,Blue Bull,Effectiveness,Wider range of flavors,Guarana,Yes,No,TV commercials,Compact and portable cans,Yes,50-99,Supermarkets,Studying/working late
4931,107932,124962,2-3 times a week,To stay awake during work/study,Increased energy and focus,No,Neutral,Effective,Yes,1,Not available locally,Bepsi,Other,Healthier alternatives,Sugar,Yes,Not Sure,TV commercials,Collectible packaging,No,100-150,Supermarkets,Sports/exercise
4932,107933,124963,2-3 times a week,For mental alertness,Increased energy and focus,No,Positive,Healthy,No,3,Health concerns,Bepsi,Other,Wider range of flavors,Caffeine,No,No,Outdoor billboards,Innovative bottle design,Yes,50-99,Supermarkets,Sports/exercise
4933,107934,124964,2-3 times a week,Before exercise,Increased energy and focus,Yes,Neutral,Not sure,Yes,1,Not available locally,CodeX,Availability,Other,Sugar,No,Yes,Outdoor billboards,Eco-friendly design,No,50-99,Supermarkets,Studying/working late
4934,107935,124965,Rarely,To stay awake during work/study,To combat fatigue,No,Negative,Not sure,No,5,Not interested in energy drinks,Bepsi,Brand reputation,Reduced sugar content,Guarana,Yes,No,TV commercials,Innovative bottle design,Yes,Above 150,Local stores,Sports/exercise
4935,107936,124966,Rarely,Throughout the day,Increased energy and focus,Yes,Positive,Effective,No,5,Health concerns,Bepsi,Brand reputation,Wider range of flavors,Caffeine,No,Yes,Online ads,Other,No,100-150,Local stores,Other
4936,107937,124967,2-3 times a month,To stay awake during work/study,Increased energy and focus,No,Neutral,Healthy,Yes,5,Health concerns,Others,Brand reputation,More natural ingredients,Sugar,Yes,Yes,Outdoor billboards,Collectible packaging,Yes,50-99,Supermarkets,Studying/working late
4937,107938,124968,2-3 times a week,Before exercise,Increased energy and focus,No,Neutral,Not sure,No,2,Not available locally,Cola-Coka,Brand reputation,Healthier alternatives,Caffeine,No,Yes,Online ads,Compact and portable cans,Not Sure,50-99,Supermarkets,Studying/working late
4938,107939,124969,Daily,To stay awake during work/study,To enhance sports performance,No,Neutral,Effective,Yes,3,Not available locally,CodeX,Brand reputation,More natural ingredients,Vitamins,No,No,Online ads,Innovative bottle design,No,50-99,Supermarkets,Driving/commuting
4939,107940,124970,2-3 times a week,To stay awake during work/study,To boost performance,No,Neutral,Dangerous,No,5,Health concerns,Bepsi,Other,More natural ingredients,Vitamins,Yes,Yes,TV commercials,Compact and portable cans,No,100-150,Supermarkets,Studying/working late
4940,107941,124971,Once a week,Before exercise,Increased energy and focus,No,Positive,Effective,Yes,3,Health concerns,Gangster,Brand reputation,More natural ingredients,Caffeine,No,Yes,Online ads,Innovative bottle design,No,50-99,Supermarkets,Sports/exercise
4941,107942,124972,2-3 times a week,Throughout the day,Increased energy and focus,Yes,Positive,Effective,No,3,Not available locally,Others,Availability,More natural ingredients,Sugar,No,Yes,TV commercials,Compact and portable cans,Yes,50-99,Supermarkets,Studying/working late
4942,107943,124973,Daily,To stay awake during work/study,To boost performance,No,Negative,Dangerous,No,5,Health concerns,Bepsi,Taste/flavor preference,Other,Caffeine,Yes,Yes,TV commercials,Compact and portable cans,No,Above 150,Online retailers,Studying/working late
4943,107944,124974,2-3 times a month,Throughout the day,Increased energy and focus,No,Positive,Not sure,No,4,Other,Blue Bull,Availability,Reduced sugar content,Sugar,No,No,TV commercials,Collectible packaging,Yes,50-99,Supermarkets,Studying/working late
4944,107945,124975,2-3 times a week,For mental alertness,To enhance sports performance,No,Neutral,Not sure,No,3,Not interested in energy drinks,Sky 9,Taste/flavor preference,Reduced sugar content,Vitamins,Yes,Yes,Online ads,Collectible packaging,Yes,50-99,Supermarkets,Sports/exercise
4945,107946,124976,Once a week,Before exercise,Increased energy and focus,Yes,Neutral,Not sure,No,3,Not available locally,Others,Availability,Reduced sugar content,Guarana,No,No,Online ads,Compact and portable cans,No,50-99,Supermarkets,Social outings/parties
4946,107947,124977,Rarely,For mental alertness,Increased energy and focus,No,Negative,Healthy,Yes,4,Not available locally,Bepsi,Effectiveness,Other,Vitamins,Yes,Yes,Outdoor billboards,Collectible packaging,Not Sure,Above 150,Online retailers,Social outings/parties
4947,107948,124978,2-3 times a week,To stay awake during work/study,To combat fatigue,No,Neutral,Not sure,No,3,Not interested in energy drinks,Cola-Coka,Other,Reduced sugar content,Vitamins,No,Yes,TV commercials,Innovative bottle design,Not Sure,50-99,Online retailers,Studying/working late
4948,107949,124979,2-3 times a week,To stay awake during work/study,To enhance sports performance,No,Neutral,Healthy,No,3,Not interested in energy drinks,Bepsi,Availability,Reduced sugar content,Vitamins,Yes,Not Sure,TV commercials,Eco-friendly design,Yes,100-150,Supermarkets,Social outings/parties
4949,107950,124980,2-3 times a week,Throughout the day,To boost performance,No,Positive,Dangerous,No,1,Other,Blue Bull,Brand reputation,Reduced sugar content,Caffeine,No,No,Online ads,Innovative bottle design,No,100-150,Online retailers,Studying/working late
4950,107951,124981,2-3 times a week,To stay awake during work/study,To boost performance,Yes,Neutral,Effective,Yes,4,Not interested in energy drinks,Blue Bull,Taste/flavor preference,More natural ingredients,Sugar,No,No,Online ads,Compact and portable cans,No,50-99,Local stores,Driving/commuting
4951,107952,124982,2-3 times a week,Before exercise,Increased energy and focus,Yes,Neutral,Healthy,No,5,Health concerns,Sky 9,Effectiveness,Other,Sugar,No,Yes,Print media,Eco-friendly design,No,50-99,Supermarkets,Social outings/parties
4952,107953,124983,Daily,Before exercise,Other,No,Positive,Healthy,No,4,Unfamiliar with the brand,Sky 9,Taste/flavor preference,More natural ingredients,Vitamins,No,Yes,Outdoor billboards,Compact and portable cans,Not Sure,Above 150,Supermarkets,Studying/working late
4953,107954,124984,2-3 times a week,Before exercise,To combat fatigue,No,Neutral,Dangerous,Yes,4,Health concerns,Sky 9,Availability,More natural ingredients,Caffeine,Yes,Yes,Print media,Innovative bottle design,Yes,100-150,Online retailers,Social outings/parties
4954,107955,124985,Once a week,Throughout the day,To boost performance,Yes,Neutral,Not sure,Yes,3,Not available locally,CodeX,Other,More natural ingredients,Sugar,No,Yes,Online ads,Innovative bottle design,Yes,100-150,Supermarkets,Studying/working late
4955,107956,124986,2-3 times a week,Before exercise,Increased energy and focus,Yes,Positive,Effective,No,3,Other,Bepsi,Brand reputation,Reduced sugar content,Vitamins,No,Yes,Online ads,Compact and portable cans,No,100-150,Local stores,Studying/working late
4956,107957,124987,2-3 times a week,Before exercise,Increased energy and focus,No,Neutral,Dangerous,Yes,5,Unfamiliar with the brand,Gangster,Other,More natural ingredients,Guarana,No,No,Outdoor billboards,Other,Not Sure,Above 150,Supermarkets,Sports/exercise
4957,107958,124988,2-3 times a month,Throughout the day,To enhance sports performance,No,Neutral,Healthy,No,3,Health concerns,Bepsi,Effectiveness,Healthier alternatives,Caffeine,Yes,Yes,Outdoor billboards,Collectible packaging,Yes,Below 50,Gyms and fitness centers,Social outings/parties
4958,107959,124989,Daily,Before exercise,To boost performance,No,Neutral,Dangerous,Yes,3,Other,Gangster,Availability,Reduced sugar content,Guarana,No,Yes,Other,Collectible packaging,No,Above 150,Online retailers,Studying/working late
4959,107960,124990,2-3 times a week,For mental alertness,Increased energy and focus,Yes,Neutral,Effective,Yes,5,Not available locally,Blue Bull,Other,Healthier alternatives,Guarana,No,Not Sure,TV commercials,Compact and portable cans,No,50-99,Online retailers,Studying/working late
4960,107961,124991,2-3 times a month,Throughout the day,Increased energy and focus,Yes,Neutral,Not sure,Yes,3,Health concerns,Blue Bull,Brand reputation,Reduced sugar content,Vitamins,No,Not Sure,Online ads,Compact and portable cans,Yes,50-99,Supermarkets,Social outings/parties
4961,107962,124992,Rarely,Throughout the day,To enhance sports performance,No,Neutral,Healthy,Yes,5,Health concerns,Gangster,Brand reputation,More natural ingredients,Vitamins,Yes,Yes,Online ads,Innovative bottle design,Yes,Above 150,Supermarkets,Studying/working late
4962,107963,124993,Once a week,Before exercise,Increased energy and focus,No,Neutral,Effective,Yes,2,Not interested in energy drinks,Bepsi,Taste/flavor preference,Other,Caffeine,No,No,Other,Compact and portable cans,Yes,50-99,Supermarkets,Sports/exercise
4963,107964,124994,Rarely,To stay awake during work/study,Increased energy and focus,No,Positive,Effective,Yes,1,Other,CodeX,Taste/flavor preference,More natural ingredients,Vitamins,Yes,Yes,Outdoor billboards,Collectible packaging,No,Above 150,Online retailers,Sports/exercise
4964,107965,124995,2-3 times a week,Before exercise,To enhance sports performance,Yes,Neutral,Dangerous,No,3,Health concerns,Gangster,Effectiveness,Other,Caffeine,Yes,Not Sure,TV commercials,Compact and portable cans,No,50-99,Supermarkets,Sports/exercise
4965,107966,124996,Once a week,Before exercise,To enhance sports performance,No,Positive,Effective,Yes,4,Health concerns,Cola-Coka,Brand reputation,More natural ingredients,Guarana,Yes,Not Sure,Print media,Eco-friendly design,No,Above 150,Other,Studying/working late
4966,107967,124997,Daily,To stay awake during work/study,Other,Yes,Neutral,Not sure,No,5,Not available locally,Cola-Coka,Brand reputation,Healthier alternatives,Caffeine,No,No,Outdoor billboards,Innovative bottle design,Yes,Above 150,Gyms and fitness centers,Sports/exercise
4967,107968,124998,2-3 times a month,Before exercise,Increased energy and focus,No,Negative,Not sure,No,5,Other,Blue Bull,Other,More natural ingredients,Vitamins,Yes,No,Online ads,Innovative bottle design,Yes,50-99,Other,Other
4968,107969,124999,2-3 times a week,Before exercise,To combat fatigue,Yes,Positive,Dangerous,No,4,Unfamiliar with the brand,Sky 9,Availability,More natural ingredients,Vitamins,Yes,No,TV commercials,Innovative bottle design,No,Above 150,Supermarkets,Sports/exercise
4969,107970,125000,Once a week,For mental alertness,Increased energy and focus,Yes,Neutral,Effective,Yes,3,Health concerns,Sky 9,Effectiveness,Reduced sugar content,Caffeine,No,No,Print media,Collectible packaging,No,Above 150,Supermarkets,Studying/working late
4970,107971,125001,Rarely,To stay awake during work/study,Increased energy and focus,Yes,Neutral,Not sure,Yes,5,Not available locally,Cola-Coka,Availability,More natural ingredients,Vitamins,Yes,Yes,Online ads,Collectible packaging,Yes,100-150,Local stores,Sports/exercise
4971,107972,125002,Once a week,To stay awake during work/study,To enhance sports performance,No,Negative,Healthy,Yes,4,Other,Bepsi,Brand reputation,More natural ingredients,Guarana,Yes,Yes,Online ads,Compact and portable cans,Yes,50-99,Other,Social outings/parties
4972,107973,125003,Once a week,For mental alertness,Increased energy and focus,No,Neutral,Effective,Yes,3,Not interested in energy drinks,Bepsi,Brand reputation,Reduced sugar content,Guarana,Yes,No,Online ads,Compact and portable cans,Yes,Below 50,Online retailers,Sports/exercise
4973,107974,125004,Once a week,To stay awake during work/study,Increased energy and focus,Yes,Neutral,Not sure,Yes,3,Health concerns,Sky 9,Brand reputation,More natural ingredients,Caffeine,Yes,Yes,TV commercials,Innovative bottle design,No,100-150,Supermarkets,Sports/exercise
4974,107975,125005,2-3 times a week,Before exercise,To enhance sports performance,No,Neutral,Not sure,Yes,4,Unfamiliar with the brand,Blue Bull,Availability,Reduced sugar content,Guarana,Yes,Yes,Outdoor billboards,Collectible packaging,No,50-99,Online retailers,Studying/working late
4975,107976,125006,Rarely,Before exercise,Increased energy and focus,Yes,Positive,Healthy,No,3,Not available locally,Cola-Coka,Other,More natural ingredients,Caffeine,No,No,Online ads,Collectible packaging,No,100-150,Supermarkets,Sports/exercise
4976,107977,125007,2-3 times a week,Before exercise,Other,Yes,Positive,Effective,Yes,4,Not available locally,Gangster,Brand reputation,Reduced sugar content,Caffeine,Yes,Not Sure,Other,Compact and portable cans,Yes,50-99,Online retailers,Sports/exercise
4977,107978,125008,2-3 times a week,For mental alertness,Increased energy and focus,No,Negative,Dangerous,Yes,4,Not available locally,Bepsi,Availability,More natural ingredients,Guarana,Yes,Yes,Online ads,Collectible packaging,No,Above 150,Supermarkets,Sports/exercise
4978,107979,125009,Once a week,Before exercise,To enhance sports performance,Yes,Neutral,Healthy,No,4,Other,Cola-Coka,Taste/flavor preference,Healthier alternatives,Sugar,Yes,Not Sure,TV commercials,Collectible packaging,Not Sure,Above 150,Other,Sports/exercise
4979,107980,125010,2-3 times a week,Throughout the day,Increased energy and focus,No,Neutral,Not sure,Yes,4,Not interested in energy drinks,Gangster,Taste/flavor preference,Other,Caffeine,Yes,Yes,TV commercials,Innovative bottle design,Yes,Above 150,Supermarkets,Studying/working late
4980,107981,125011,Daily,Throughout the day,Increased energy and focus,Yes,Neutral,Not sure,Yes,3,Other,Gangster,Availability,Other,Sugar,Yes,Yes,Other,Eco-friendly design,No,Below 50,Online retailers,Sports/exercise
4981,107982,125012,Daily,Before exercise,Increased energy and focus,No,Neutral,Dangerous,Yes,2,Health concerns,CodeX,Availability,Reduced sugar content,Caffeine,Yes,No,Outdoor billboards,Compact and portable cans,Yes,50-99,Supermarkets,Studying/working late
4982,107983,125013,2-3 times a month,Before exercise,Increased energy and focus,No,Neutral,Dangerous,Yes,2,Other,Others,Availability,More natural ingredients,Caffeine,Yes,No,TV commercials,Innovative bottle design,No,50-99,Online retailers,Sports/exercise
4983,107984,125014,Once a week,Before exercise,Increased energy and focus,No,Neutral,Not sure,Yes,2,Health concerns,Cola-Coka,Brand reputation,More natural ingredients,Guarana,Yes,Yes,TV commercials,Collectible packaging,No,100-150,Online retailers,Sports/exercise
4984,107985,125015,2-3 times a month,To stay awake during work/study,To combat fatigue,No,Neutral,Healthy,No,3,Not available locally,Bepsi,Brand reputation,Reduced sugar content,Sugar,No,Not Sure,Online ads,Compact and portable cans,Yes,50-99,Supermarkets,Sports/exercise
4985,107986,125016,Once a week,Before exercise,Increased energy and focus,No,Neutral,Healthy,No,5,Health concerns,Gangster,Effectiveness,Healthier alternatives,Vitamins,Yes,Not Sure,Online ads,Innovative bottle design,No,100-150,Gyms and fitness centers,Studying/working late
4986,107987,125017,Daily,Throughout the day,Increased energy and focus,Yes,Neutral,Effective,No,3,Not available locally,Cola-Coka,Brand reputation,More natural ingredients,Vitamins,Yes,Yes,Print media,Other,No,Below 50,Online retailers,Sports/exercise
